vehicle_id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
ARMOR-T90-00001,297.9,314.5,1806,79.8,136,0.59,41,24,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00002,298.4,313.5,1589,28.1,211,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00003,307.7,316.8,2764,20.9,135,0.21,79,47,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00004,307.9,309.9,1983,54.4,155,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00005,307.9,313.7,1913,42.2,160,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00006,302.4,313.1,2531,71.4,220,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00007,302.8,307.5,2027,64.3,179,0.7,30,18,critical,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00008,296.5,311.2,2661,52.1,196,0.1,90,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00009,305.5,311.2,2635,82.4,13,0.48,52,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00010,298.0,314.8,2618,32.4,52,0.14,86,51,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00011,307.9,307.7,1741,25.2,206,0.19,81,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00012,302.2,317.7,1285,19.9,93,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00013,300.7,312.2,2062,70.7,64,0.54,46,27,watch,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00014,296.1,315.3,2288,21.2,60,0.05,95,57,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00015,300.7,310.4,2053,20.1,134,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00016,306.3,312.2,2636,17.0,60,0.2,80,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00017,300.3,305.4,1421,48.7,188,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
ARMOR-T90-00018,304.7,312.6,2427,40.3,163,0.11,89,53,ready,AI4I 2020 Predictive Maintenance (UCI ML)
