engine_id,altitude_ft,mach_number,total_temp_k,combustor_pres_psi,bleed_enthalpy,bypass_ratio,ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
TURBO-SU30-00001,16658,0.91,625.3,483.7,420.1,6.11,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00002,20087,0.69,622.1,524.3,413.2,8.51,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00003,32672,0.79,636.3,513.8,399.9,8.22,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00004,22055,0.65,581.3,446.4,406.2,7.54,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00005,24669,0.96,557.3,442.2,390.7,8.13,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00006,35278,0.84,573.8,328.7,402.9,6.94,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00007,12730,0.75,570.4,384.9,404.3,7.63,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00008,12289,0.57,558.6,443.3,420.3,5.27,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00009,14669,0.86,551.7,332.3,418.2,8.32,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00010,35034,0.72,554.2,505.1,396.1,8.34,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00011,17050,0.9,543.7,438.1,388.5,6.47,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00012,19429,0.97,532.2,362.3,414.1,6.03,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00013,30846,0.93,607.6,463.2,422.3,8.64,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00014,30937,0.47,530.8,354.8,416.0,5.39,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00015,37277,0.96,578.2,526.4,414.2,5.28,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00016,27314,0.78,620.9,551.4,402.1,5.71,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00017,29937,0.84,526.8,512.8,391.6,8.49,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00018,29111,0.64,585.1,527.5,386.2,5.29,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00019,17958,0.88,574.7,406.9,394.5,7.75,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00020,33570,0.79,531.7,420.5,409.6,6.56,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00021,10200,0.61,637.1,502.4,412.3,7.16,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00022,24575,0.78,537.8,350.1,413.1,7.33,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00023,31460,0.46,603.2,321.0,389.7,6.35,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00024,28389,0.71,628.0,341.3,388.0,7.84,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00025,15890,0.72,567.1,365.2,396.3,8.62,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00026,22263,0.73,522.8,399.6,391.0,6.7,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00027,28291,0.79,615.8,346.8,411.3,6.34,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00028,27262,0.64,612.3,335.4,405.5,5.35,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00029,30105,0.63,546.5,431.7,406.4,7.07,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00030,17563,0.82,601.7,448.0,415.8,8.69,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00031,11685,0.5,528.6,559.5,421.9,6.51,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00032,30919,0.91,511.9,326.0,413.8,5.44,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00033,25794,0.7,622.6,427.5,399.9,5.48,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00034,17237,0.82,568.4,484.5,418.3,5.96,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00035,37512,0.75,573.1,353.8,421.2,7.86,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00036,12416,0.78,513.7,511.7,409.3,6.62,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00037,24485,0.95,574.0,505.7,411.7,7.24,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00038,31019,0.46,549.2,544.6,402.3,7.13,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00039,37919,0.89,543.0,496.9,390.1,7.66,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00040,30100,0.64,524.3,491.1,386.2,6.07,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00041,16877,0.73,577.6,338.5,397.9,6.82,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00042,11333,0.96,578.3,474.7,417.6,6.46,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00043,11734,0.51,550.3,331.8,416.2,8.22,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00044,30821,0.74,571.9,354.0,410.9,7.31,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00045,30540,0.97,511.3,437.4,409.6,5.79,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00046,10941,0.57,615.1,524.5,421.4,7.32,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00047,30071,0.86,569.9,498.5,396.7,7.79,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00048,11202,0.79,525.6,549.7,398.2,6.63,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00049,32628,0.83,586.5,498.1,404.6,8.31,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00050,20285,0.64,521.4,498.6,411.0,6.23,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00051,10495,0.95,596.7,419.6,410.8,5.49,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
TURBO-SU30-00052,16567,0.95,538.7,419.6,389.3,6.47,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
