asset_id,platform_name,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],vibration_g_rms,hydraulic_pressure_psi,ml_failure_prob,readiness_score,predicted_rul_days,status,ml_model_applied
IND-ARMY-0564,K9 Vajra 155mm,297.5,307.8,1460,46.6,109,0.0465,186,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0893,NAMICA ATGM,299.8,309.8,2313,30.5,74,0.0688,205,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0828,BMP-2 Sarath,298.0,306.1,1770,33.2,108,0.0607,213,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0317,T-90 Bhishma,300.9,307.7,1575,25.3,37,0.0446,192,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1969,NAMICA ATGM,310.5,321.7,2087,87.1,228,0.8217,144,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1200,Arjun Mk-II MBT,297.8,309.0,1411,37.5,63,0.0553,202,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1864,K9 Vajra 155mm,313.9,320.6,1779,86.8,226,1.0767,158,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1911,NAMICA ATGM,312.9,319.9,1759,74.4,233,1.4222,142,0.57,43,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1912,Arjun Mk-II MBT,313.7,321.7,1368,75.0,213,0.4971,140,0.81,18,11,critical,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0570,BMP-2 Sarath,297.0,308.7,2066,23.4,100,0.0471,200,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0792,Arjun Mk-II MBT,300.2,307.8,1916,41.2,74,0.0795,214,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0481,BMP-2 Sarath,299.9,309.3,2140,46.9,93,0.0629,187,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1635,T-90 Bhishma,304.3,312.8,2158,52.0,177,0.2031,178,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1260,T-90 Bhishma,299.5,309.6,2478,32.2,19,0.045,195,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1557,BMP-2 Sarath,305.5,315.9,1648,51.8,138,0.151,173,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0630,K9 Vajra 155mm,298.2,310.4,2207,44.4,86,0.0569,208,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1763,NAMICA ATGM,310.9,320.0,1881,88.3,203,0.7615,157,0.43,57,34,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1916,K9 Vajra 155mm,313.5,320.3,1547,75.2,198,1.049,144,0.56,43,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0760,K9 Vajra 155mm,298.8,306.2,1894,25.0,89,0.0608,214,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0776,T-90 Bhishma,299.8,309.9,1653,45.8,34,0.0673,206,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0503,Arjun Mk-II MBT,296.6,310.1,1704,43.6,46,0.0695,196,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1537,BMP-2 Sarath,306.1,315.9,1780,60.0,169,0.197,181,0.47,53,31,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1341,K9 Vajra 155mm,298.5,307.0,1556,19.9,109,0.065,211,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0504,Arjun Mk-II MBT,299.9,307.6,2479,44.5,83,0.0709,190,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1927,BMP-2 Sarath,313.0,321.4,2011,79.1,237,0.5421,143,0.55,44,26,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0574,BMP-2 Sarath,299.8,309.4,1333,40.4,96,0.0502,193,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1421,BMP-2 Sarath,304.6,317.0,1735,51.3,121,0.1495,175,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1612,NAMICA ATGM,306.2,316.1,2516,56.2,179,0.2189,176,0.19,81,48,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1998,T-90 Bhishma,312.9,318.2,1370,85.1,227,1.4575,154,0.79,20,12,critical,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1661,T-90 Bhishma,302.5,313.2,1654,66.7,161,0.1916,162,0.68,31,19,critical,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0318,K9 Vajra 155mm,297.9,310.7,2392,39.3,50,0.0592,194,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0381,K9 Vajra 155mm,297.8,309.1,1548,36.6,77,0.0678,209,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0895,NAMICA ATGM,298.6,306.7,1984,20.0,14,0.0546,213,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0731,NAMICA ATGM,299.9,307.4,2159,46.0,109,0.0521,187,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1409,NAMICA ATGM,302.1,316.2,1406,61.5,145,0.2115,180,0.71,29,17,critical,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1151,K9 Vajra 155mm,299.7,306.8,1568,47.9,38,0.0429,205,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0718,BMP-2 Sarath,300.2,306.6,2453,30.1,72,0.0564,213,0.03,97,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0768,T-90 Bhishma,297.1,310.6,2275,42.7,86,0.0503,208,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0157,BMP-2 Sarath,296.1,307.7,1673,30.3,54,0.0584,194,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0137,Arjun Mk-II MBT,300.6,306.7,1968,26.1,24,0.0764,200,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0546,NAMICA ATGM,300.4,310.8,2068,36.4,19,0.0404,203,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0101,T-90 Bhishma,298.6,307.3,1506,44.5,27,0.0651,206,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0097,BMP-2 Sarath,297.3,308.8,2502,23.2,14,0.0559,202,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1669,NAMICA ATGM,303.6,315.3,1429,61.9,120,0.1929,179,0.58,42,25,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0383,BMP-2 Sarath,299.1,308.3,2507,43.2,17,0.0617,198,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1640,T-90 Bhishma,304.5,315.0,1485,56.2,139,0.2028,163,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1160,T-90 Bhishma,297.9,307.3,1698,21.2,12,0.0571,194,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0956,Arjun Mk-II MBT,300.7,306.5,1556,20.4,35,0.0532,195,0.02,98,58,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1174,BMP-2 Sarath,298.9,307.8,1855,35.7,40,0.0671,207,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1660,BMP-2 Sarath,306.2,312.2,1800,55.9,160,0.2122,160,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1153,K9 Vajra 155mm,300.5,310.7,1849,36.5,75,0.0529,188,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0813,K9 Vajra 155mm,300.6,310.6,1989,35.2,108,0.0634,190,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0128,NAMICA ATGM,300.1,310.6,2238,44.9,90,0.0588,214,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1203,Arjun Mk-II MBT,297.0,308.9,2280,38.0,80,0.0449,203,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0194,NAMICA ATGM,298.1,310.1,2214,36.6,65,0.078,213,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0197,NAMICA ATGM,297.1,307.2,2532,30.4,65,0.0679,204,0.09,91,54,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1455,T-90 Bhishma,302.4,314.4,2434,52.0,132,0.1258,164,0.07,93,55,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-1560,NAMICA ATGM,304.5,313.3,2055,65.7,162,0.1775,177,0.5,50,30,watch,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0256,NAMICA ATGM,298.5,308.8,1693,38.1,62,0.0582,194,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0569,Arjun Mk-II MBT,299.2,310.9,2280,43.6,47,0.0622,197,0.06,94,56,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0326,K9 Vajra 155mm,298.3,309.7,2212,35.1,65,0.0662,198,0.01,99,59,ready,AI4I 2020 Predictive Maintenance (UCI ML)
IND-ARMY-0089,Arjun Mk-II MBT,297.8,306.9,1798,41.8,47,0.0484,195,0.0,99,60,ready,AI4I 2020 Predictive Maintenance (UCI ML)
