vehicle_id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
ARMOR-BATCH-00000,302.1041567970204,312.96386175950545,2646,28.95667809754569,171
ARMOR-BATCH-00001,304.6887766328914,309.23365113848166,2450,74.7880063706401,107
ARMOR-BATCH-00002,296.37363081076734,312.80384927455145,2582,80.97215200515352,92
ARMOR-BATCH-00003,304.1850317890735,313.5588152527992,2495,76.52896804539638,226
ARMOR-BATCH-00004,305.57036611717393,306.80414569901234,1892,83.83017198827707,2
ARMOR-BATCH-00005,301.2341154424729,305.1515221819265,2495,54.25292664094339,97
ARMOR-BATCH-00006,300.5213255740415,316.74856236757915,1973,60.864221250756344,167
ARMOR-BATCH-00007,307.19153261007074,316.6520478084094,2778,46.83362435773559,239
ARMOR-BATCH-00008,306.29085197957204,317.85397390927153,2788,40.961843312701596,226
ARMOR-BATCH-00009,300.5067788269078,312.3591281734452,1318,22.515998880137403,9
ARMOR-BATCH-00010,298.54254351084654,313.1845672448651,1668,23.63256963914015,194
ARMOR-BATCH-00011,296.2611380616494,313.2715961701906,2290,41.91700228833789,112
ARMOR-BATCH-00012,300.24247593062336,315.72013241032533,2495,16.242366617581816,5
ARMOR-BATCH-00013,306.7062758061226,314.96967731305296,1461,29.033083349016373,92
ARMOR-BATCH-00014,295.61451514007456,309.4751889773257,2287,15.105093896518081,83
ARMOR-BATCH-00015,295.71594024573767,315.136747557344,1532,62.9884785650109,44
ARMOR-BATCH-00016,299.6189595058696,316.2117890894766,1582,82.46979942647961,182
ARMOR-BATCH-00017,299.6969095749224,310.9288122141333,1551,37.749051034248964,159
ARMOR-BATCH-00018,299.51162366048493,306.3292327356999,1879,48.92669496082821,36
ARMOR-BATCH-00019,307.6505087239354,308.86667231625745,2190,32.63581972336671,138
ARMOR-BATCH-00020,307.86656487918304,313.35479639373756,2365,76.29223194536253,87
ARMOR-BATCH-00021,299.67803706070123,307.8806421612934,2484,79.7799974234028,236
ARMOR-BATCH-00022,300.853681844878,305.30637885708614,1254,39.563106121431105,58
ARMOR-BATCH-00023,307.58256604685255,313.7614265065048,2088,56.80039203406204,37
ARMOR-BATCH-00024,299.24821197670764,317.88807711804196,2253,44.07017622200209,168
ARMOR-BATCH-00025,299.58024703947757,310.6433125365167,2230,38.032553437794064,55
ARMOR-BATCH-00026,300.63351662227353,309.2576623266674,1258,38.39591409396718,15
ARMOR-BATCH-00027,301.5427783081216,312.63787415727325,2661,71.83611598480894,184
ARMOR-BATCH-00028,306.33080842538334,309.50421763911936,1498,62.676744678049445,243
ARMOR-BATCH-00029,298.8588434382502,311.9211312038491,1334,28.212866083652727,132
ARMOR-BATCH-00030,303.4778028469764,305.0183685757093,1205,52.259923813137355,76
