vehicle_id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
ARMOR-T90-00001,299.9,310.1,2406,43.8,49
ARMOR-T90-00002,307.4,311.2,2063,65.1,156
ARMOR-T90-00003,304.5,316.1,1747,22.7,166
ARMOR-T90-00004,302.8,309.4,2260,33.9,56
ARMOR-T90-00005,297.0,316.3,2207,18.3,118
ARMOR-T90-00006,297.0,306.1,2237,45.3,219
ARMOR-T90-00007,295.8,315.1,1834,72.9,164
ARMOR-T90-00008,306.3,316.0,1794,16.7,220
ARMOR-T90-00009,302.8,307.4,2382,62.3,63
ARMOR-T90-00010,304.2,310.6,2717,80.3,47
ARMOR-T90-00011,295.3,307.2,2552,31.6,149
ARMOR-T90-00012,307.6,314.2,1813,63.6,227
ARMOR-T90-00013,305.8,312.0,2306,83.3,157
ARMOR-T90-00014,297.8,313.3,2779,82.4,155
ARMOR-T90-00015,297.4,307.6,2783,31.4,150
ARMOR-T90-00016,297.4,307.8,2792,22.0,224
ARMOR-T90-00017,299.0,305.5,2245,25.4,3
ARMOR-T90-00018,301.8,309.2,2355,64.1,130
ARMOR-T90-00019,300.6,312.3,1664,65.8,60
ARMOR-T90-00020,298.8,316.2,2679,62.2,95
ARMOR-T90-00021,303.0,313.7,2525,38.5,3
ARMOR-T90-00022,296.8,310.7,2154,26.9,64
ARMOR-T90-00023,298.8,317.4,2129,55.7,139
ARMOR-T90-00024,299.8,314.4,2490,48.9,140
ARMOR-T90-00025,300.9,317.1,1998,66.0,161
ARMOR-T90-00026,305.2,311.9,1594,45.9,123
ARMOR-T90-00027,297.6,308.4,2343,38.7,186
ARMOR-T90-00028,301.7,305.7,1445,35.5,92
ARMOR-T90-00029,302.7,314.4,1767,29.8,200
ARMOR-T90-00030,295.6,306.6,1237,33.6,30
ARMOR-T90-00031,302.9,308.9,1444,21.6,70
ARMOR-T90-00032,297.2,311.9,1220,39.3,140
ARMOR-T90-00033,295.8,312.3,2333,17.6,181
ARMOR-T90-00034,307.3,312.8,1593,28.0,1
ARMOR-T90-00035,307.6,307.2,2633,67.3,160
ARMOR-T90-00036,305.5,309.9,2186,37.8,49
ARMOR-T90-00037,299.0,313.0,1207,61.8,134
ARMOR-T90-00038,296.3,317.6,2667,65.2,145
ARMOR-T90-00039,303.9,314.5,1527,55.7,178
ARMOR-T90-00040,300.7,317.0,1489,82.1,7
ARMOR-T90-00041,296.6,314.9,1710,16.5,54
ARMOR-T90-00042,301.4,312.7,2111,66.7,203
ARMOR-T90-00043,295.4,307.5,1560,82.1,42
