asset_id,vibration_g_rms,bearing_temp_c,shaft_rpm,kurtosis
AST-BRG-00001,0.0499,69.6,3242,2.96
AST-BRG-00002,0.0548,39.0,2478,3.35
AST-BRG-00003,0.078,40.7,2402,3.34
AST-BRG-00004,0.0475,94.9,1793,3.46
AST-BRG-00005,0.0611,54.6,2621,3.03
AST-BRG-00006,0.1833,79.9,3405,3.58
AST-BRG-00007,1.0049,83.4,2227,5.84
AST-BRG-00008,0.0426,86.5,3414,3.15
AST-BRG-00009,0.1938,94.9,2159,3.57
AST-BRG-00010,0.062,49.5,3441,3.0
AST-BRG-00011,0.8003,37.4,3482,4.97
AST-BRG-00012,0.0548,59.7,2373,3.13
AST-BRG-00013,0.0795,42.8,2015,3.57
AST-BRG-00014,0.1346,36.3,1603,3.31
AST-BRG-00015,0.0729,56.6,2092,3.26
AST-BRG-00016,0.0415,82.0,1267,3.31
AST-BRG-00017,0.0563,69.0,1287,3.04
AST-BRG-00018,0.0485,53.8,3464,3.21
AST-BRG-00019,0.0421,74.3,3248,3.35
AST-BRG-00020,0.8683,48.9,2358,5.49
AST-BRG-00021,0.0773,35.9,2920,3.37
AST-BRG-00022,0.0615,80.9,2574,3.36
AST-BRG-00023,0.0415,72.4,3387,2.98
AST-BRG-00024,0.1851,80.7,3380,3.83
AST-BRG-00025,0.0488,37.3,2843,3.0
AST-BRG-00026,0.0613,85.2,1377,3.42
AST-BRG-00027,0.0697,72.2,2581,3.13
AST-BRG-00028,0.0455,68.8,2107,3.47
AST-BRG-00029,0.2006,72.5,1785,3.73
AST-BRG-00030,0.0683,86.9,2189,3.42
AST-BRG-00031,0.076,70.2,2331,3.12
AST-BRG-00032,0.0631,69.9,3369,3.22
AST-BRG-00033,1.499,94.4,3264,6.92
AST-BRG-00034,0.0547,80.4,2419,3.4
AST-BRG-00035,0.6835,61.5,3574,4.57
AST-BRG-00036,0.0416,77.4,1517,3.48
AST-BRG-00037,0.0788,58.4,2702,3.53
AST-BRG-00038,0.1297,48.7,3234,3.29
AST-BRG-00039,0.0456,70.8,3242,3.41
AST-BRG-00040,0.0407,90.7,1702,3.21
AST-BRG-00041,0.0788,90.7,3222,3.27
AST-BRG-00042,0.0469,55.5,1318,3.11
AST-BRG-00043,0.0557,66.7,1909,3.29
AST-BRG-00044,0.0569,47.7,1244,3.38
AST-BRG-00045,0.0507,94.7,1513,3.17
AST-BRG-00046,0.048,93.9,1617,3.3
AST-BRG-00047,0.7711,74.0,2301,5.15
AST-BRG-00048,0.0472,83.3,1525,3.34
AST-BRG-00049,0.0483,77.9,2639,2.95
AST-BRG-00050,0.045,70.6,3186,3.43
AST-BRG-00051,0.0539,38.2,3461,3.21
AST-BRG-00052,0.053,62.3,1273,3.09
AST-BRG-00053,0.0421,75.5,2802,3.05
AST-BRG-00054,0.0638,75.7,1708,3.25
