asset_id,platform_type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],vibration_g_rms,kurtosis,hydraulic_pressure_psi
DEF-00001,Su-30MKI Fighter,293.3,303.1,1211,60.5,113,0.0711,3.14,219
DEF-00002,Arjun Mk-II MBT,304.7,319.6,1140,83.1,126,0.0531,3.02,171
DEF-00003,Su-30MKI Fighter,297.1,305.7,2806,13.0,35,0.0463,3.27,157
DEF-00004,Arjun Mk-II MBT,307.0,320.9,2432,54.0,172,0.0414,2.94,183
DEF-00005,T-90 Bhishma MBT,305.5,315.8,2777,64.3,230,0.0757,3.36,146
DEF-00006,K9 Vajra Howitzer,309.4,318.8,2743,58.6,139,0.0778,3.29,155
DEF-00007,T-90 Bhishma MBT,307.8,317.8,2606,86.4,173,0.8685,5.92,200
DEF-00008,K9 Vajra Howitzer,308.0,316.5,1426,25.3,61,1.2128,6.73,156
DEF-00009,K9 Vajra Howitzer,311.2,323.1,2300,17.8,116,0.0727,3.2,182
DEF-00010,T-90 Bhishma MBT,296.3,304.4,1388,59.8,232,0.0751,3.0,201
DEF-00011,K9 Vajra Howitzer,309.1,323.1,1727,27.9,136,0.0597,3.25,144
DEF-00012,T-90 Bhishma MBT,305.7,319.2,1761,59.2,51,0.0708,3.04,195
DEF-00013,Arjun Mk-II MBT,297.9,310.7,1729,51.0,206,0.0592,3.14,148
DEF-00014,Su-30MKI Fighter,308.5,321.5,2012,54.7,60,0.0663,3.03,205
DEF-00015,BMP-2 Sarath ICV,300.1,311.2,2029,59.0,133,0.8781,6.01,144
DEF-00016,T-90 Bhishma MBT,295.9,310.6,2209,62.7,60,0.1077,3.25,213
DEF-00017,Su-30MKI Fighter,300.3,315.1,1823,71.1,159,0.0708,3.04,148
DEF-00018,Su-30MKI Fighter,300.0,310.8,2587,38.8,140,0.0605,3.39,144
DEF-00019,Su-30MKI Fighter,311.2,321.4,2558,23.2,3,1.3322,7.42,194
DEF-00020,BMP-2 Sarath ICV,299.8,310.7,2532,58.9,221,0.5973,4.77,164
DEF-00021,K9 Vajra Howitzer,300.9,312.5,1127,19.9,165,1.2106,6.96,147
DEF-00022,T-90 Bhishma MBT,293.5,304.3,1346,86.6,185,0.0612,2.89,209
DEF-00023,Arjun Mk-II MBT,307.9,317.4,2833,61.6,53,0.0621,3.23,213
DEF-00024,Su-30MKI Fighter,310.1,324.1,2133,69.5,113,0.2148,3.41,161
DEF-00025,BMP-2 Sarath ICV,293.0,305.3,1550,53.8,191,0.0727,3.26,196
DEF-00026,K9 Vajra Howitzer,311.8,321.1,2487,60.1,84,0.0667,2.85,151
DEF-00027,Su-30MKI Fighter,299.8,308.8,2806,67.7,85,0.0438,3.24,178
DEF-00028,T-90 Bhishma MBT,296.0,305.6,1613,49.2,224,0.0758,2.88,202
DEF-00029,Arjun Mk-II MBT,307.8,320.1,2663,33.6,24,1.4245,7.71,217
DEF-00030,Arjun Mk-II MBT,294.9,309.5,1415,70.8,188,0.8111,5.67,154
DEF-00031,T-90 Bhishma MBT,310.9,319.2,2116,50.4,92,0.0488,3.25,148
DEF-00032,K9 Vajra Howitzer,308.0,321.9,1696,77.5,21,0.2252,3.73,179
DEF-00033,Su-30MKI Fighter,309.6,319.2,2037,77.8,187,0.0648,2.97,219
DEF-00034,Su-30MKI Fighter,311.0,324.7,1751,41.1,143,0.0436,3.32,161
DEF-00035,K9 Vajra Howitzer,296.6,310.9,1674,64.1,10,0.0568,2.93,171
DEF-00036,BMP-2 Sarath ICV,300.7,313.1,1550,20.9,93,0.0463,2.95,151
DEF-00037,K9 Vajra Howitzer,310.9,322.4,2665,58.6,41,0.1828,3.71,203
DEF-00038,T-90 Bhishma MBT,294.9,305.0,1255,85.7,53,0.036,2.85,160
DEF-00039,Arjun Mk-II MBT,305.4,315.9,2183,83.6,10,0.0496,3.14,217
DEF-00040,K9 Vajra Howitzer,301.0,315.7,2074,66.4,165,0.0797,3.31,217
DEF-00041,BMP-2 Sarath ICV,307.7,321.6,1143,68.5,28,0.041,3.15,197
DEF-00042,K9 Vajra Howitzer,293.3,307.9,2308,69.7,47,0.0507,3.27,199
DEF-00043,T-90 Bhishma MBT,311.3,321.0,2824,86.3,112,0.0425,2.8,205
DEF-00044,K9 Vajra Howitzer,303.5,312.9,2091,56.7,181,0.151,3.39,186
DEF-00045,BMP-2 Sarath ICV,308.8,320.9,2589,61.7,228,0.1941,3.31,154
DEF-00046,K9 Vajra Howitzer,306.3,320.5,1495,44.5,80,0.1208,3.07,146
DEF-00047,Arjun Mk-II MBT,304.3,313.5,2848,17.2,186,0.0657,3.01,200
DEF-00048,T-90 Bhishma MBT,308.0,322.6,1208,25.2,89,0.1455,3.41,203
DEF-00049,Su-30MKI Fighter,298.8,307.9,1782,41.8,120,0.0345,2.9,215
DEF-00050,Su-30MKI Fighter,308.7,317.8,1307,80.0,166,0.0632,3.22,148
DEF-00051,Arjun Mk-II MBT,296.6,308.8,2353,12.1,205,0.0626,3.31,158
DEF-00052,T-90 Bhishma MBT,310.4,325.0,2137,48.2,34,0.0331,2.71,151
DEF-00053,K9 Vajra Howitzer,297.8,309.8,2551,29.0,99,0.0469,2.99,186
DEF-00054,K9 Vajra Howitzer,305.5,314.0,1351,73.7,10,0.0301,3.08,214
DEF-00055,Su-30MKI Fighter,297.3,311.7,2085,43.8,226,0.0319,3.22,186
DEF-00056,BMP-2 Sarath ICV,306.3,320.9,1441,35.3,13,0.0514,2.89,169
DEF-00057,Su-30MKI Fighter,295.9,306.0,2439,38.6,113,0.7429,5.07,200
DEF-00058,BMP-2 Sarath ICV,294.7,307.2,2767,26.2,225,0.2368,3.8,203
DEF-00059,Su-30MKI Fighter,307.7,317.9,1257,41.4,62,0.041,3.19,201
DEF-00060,K9 Vajra Howitzer,306.5,321.2,1409,73.6,231,0.0402,2.96,172
DEF-00061,K9 Vajra Howitzer,305.5,318.6,2303,14.8,123,0.0687,2.83,183
DEF-00062,Su-30MKI Fighter,301.8,313.6,1422,51.2,103,0.0747,3.15,192
DEF-00063,T-90 Bhishma MBT,302.9,315.2,2122,61.4,224,0.0318,2.83,195
DEF-00064,BMP-2 Sarath ICV,303.6,315.0,1264,65.7,213,0.1121,3.39,181
DEF-00065,BMP-2 Sarath ICV,308.9,321.9,1113,85.3,71,0.2282,3.86,172
DEF-00066,Su-30MKI Fighter,305.9,319.9,1732,28.3,6,0.049,3.17,214
DEF-00067,Arjun Mk-II MBT,302.5,311.2,2480,19.6,77,0.079,3.01,219
DEF-00068,BMP-2 Sarath ICV,304.1,317.6,2573,67.5,191,0.061,2.86,214
DEF-00069,BMP-2 Sarath ICV,304.1,316.3,2447,23.1,42,0.0399,2.96,140
DEF-00070,BMP-2 Sarath ICV,309.2,323.8,2156,49.9,76,0.0532,2.84,166
DEF-00071,K9 Vajra Howitzer,300.1,308.4,2699,50.3,234,0.1827,3.63,158
DEF-00072,Su-30MKI Fighter,301.2,311.9,1249,55.7,10,0.2107,3.38,177
DEF-00073,Su-30MKI Fighter,299.5,308.6,2492,21.5,114,0.0549,3.09,151
DEF-00074,BMP-2 Sarath ICV,298.8,312.4,2417,32.6,72,0.0572,2.79,205
DEF-00075,Arjun Mk-II MBT,294.1,303.4,2210,78.2,64,0.0566,3.21,147
DEF-00076,Su-30MKI Fighter,305.8,314.6,1837,67.8,75,0.0779,3.4,208
DEF-00077,K9 Vajra Howitzer,300.8,312.9,2366,72.1,19,0.0465,2.79,172
DEF-00078,Su-30MKI Fighter,295.2,304.3,2579,41.1,61,0.2386,3.46,152
DEF-00079,Su-30MKI Fighter,302.8,312.0,2754,28.9,180,0.074,3.0,198
